pipeline,n,factual_correctness_ratio_mean,grounding_ratio_mean,hallucination_rate_mean,hallucination_high_rate,factual_correctness_ratio_std,grounding_ratio_std,hallucination_rate_std
rag_classic:anthropic:k=1,204,0.20866766695805122,0.38322683317159834,0.6167731668284017,0.8872549019607843,0.2766690611142162,0.2513873884926443,0.2513873884926443
rag_classic:anthropic:k=3,204,0.17858871010319427,0.5053828395980258,0.4946171604019743,0.7745098039215687,0.22810666948453828,0.24223398341814037,0.24223398341814031
rag_classic:anthropic:k=5,204,0.20031316064735671,0.5478117505587562,0.4521882494412438,0.7352941176470589,0.2572808402751476,0.25264845573169753,0.25264845573169753
rag_classic:deepseek:k=1,14,0.26963413570556427,0.46465201465201467,0.5353479853479853,0.7857142857142857,0.23899060818699674,0.22782925789354758,0.22782925789354755
rag_classic:deepseek:k=3,12,0.1832827575474634,0.5784844240726593,0.4215155759273406,0.75,0.10646704392386805,0.2131772081002241,0.2131772081002241
rag_classic:deepseek:k=5,12,0.20548030400971576,0.6709440069734187,0.32905599302658123,0.5,0.1670067429273359,0.235431338634111,0.23543133863411106
rag_classic:openai:k=1,195,0.23439264325418172,0.3511402730033499,0.6488597269966501,0.8974358974358975,0.247443841882358,0.23778678084752686,0.23778678084752683
rag_classic:openai:k=3,194,0.23213633731674968,0.4946296757080262,0.5053703242919738,0.7731958762886598,0.235411750497126,0.23758558568664292,0.2375855856866429
rag_classic:openai:k=5,195,0.2524267049190126,0.5203968353014506,0.47960316469854936,0.7025641025641025,0.24614531991389926,0.28749301829918716,0.28749301829918716
rag_dspy:openai:k=1,196,0.35909284592958063,0.6394684906929805,0.36053150930701955,0.5051020408163265,0.3514507502704608,0.369671011226742,0.36967101122674206
rag_dspy:openai:k=3,196,0.3083071690214547,0.7870990319204605,0.2129009680795395,0.2857142857142857,0.339527544699788,0.31986189600090636,0.31986189600090636
rag_dspy:openai:k=5,196,0.3372284393610925,0.8157718845780071,0.184228115421993,0.24489795918367346,0.3409343138264218,0.292419983367886,0.292419983367886
rag_graph:anthropic:k=1:mn=10,203,0.19962686276176841,0.5155454832112356,0.48445451678876444,0.7192118226600985,0.2585877512377152,0.28443910386787213,0.28443910386787213
rag_graph:anthropic:k=3:mn=10,202,0.20865057797211625,0.6359848149779647,0.3640151850220353,0.5495049504950495,0.282498245137987,0.2700581307456019,0.2700581307456019
rag_graph:anthropic:k=5:mn=10,206,0.18140192833146127,0.5836011978614026,0.4163988021385973,0.6116504854368932,0.2661809936809458,0.2903314069073697,0.29033140690736975
rag_graph:deepseek:k=1:mn=10,12,0.11492673992673992,0.5318463943463944,0.4681536056536057,0.75,0.12688746539810047,0.2502391904412893,0.2502391904412893
rag_graph:deepseek:k=3:mn=10,12,0.17357642357642358,0.6908508158508159,0.3091491841491842,0.5,0.10832181122383243,0.36572462738060846,0.36572462738060846
rag_graph:deepseek:k=5:mn=10,12,0.19985847485847485,0.6099747474747474,0.39002525252525255,0.5,0.16040622749083921,0.4028606585596299,0.40286065855962977
rag_graph:openai:k=1:mn=10,195,0.2341144542067619,0.46867943964867037,0.5313205603513296,0.8,0.2428370094032827,0.2714097381555111,0.27140973815551117
rag_graph:openai:k=3:mn=10,195,0.2838741486433794,0.5830310714926099,0.41696892850739004,0.6358974358974359,0.2479939519930945,0.27609117464540894,0.27609117464540894
rag_graph:openai:k=5:mn=10,199,0.2038928240938291,0.5376969451542316,0.4623030548457684,0.6834170854271356,0.20165903792312642,0.2825798826639639,0.28257988266396383
zeroshot:anthropic,202,0.14976154901145972,,,,0.25880295565303496,,
zeroshot:deepseek,15,0.12097476597476597,,,,0.2083848837054098,,
zeroshot:openai,196,0.1692749158437934,,,,0.2140723517200532,,
